dataset,Hydra,Hydra+MiniRocket,Hydra+MultiRocket,Hydra+Rocket
ACSF1,0.806667,0.838,0.832667,0.826667
Adiac,0.815772,0.820631,0.823956,0.807758
ArrowHead,0.869714,0.884,0.897143,0.876952
BME,1.0,0.993556,1.0,0.998222
Beef,0.805556,0.806667,0.782222,0.781111
BeetleFly,0.951667,0.928333,0.906667,0.908333
BirdChicken,0.918333,0.925,0.896667,0.928333
CBF,0.991852,0.996222,0.993259,0.995926
Car,0.927778,0.923889,0.926111,0.921667
Chinatown,0.968222,0.968999,0.967055,0.967541
ChlorineConcentration,0.763385,0.773628,0.783464,0.795139
CinCECGTorso,0.99413,0.975725,0.969589,0.958406
Coffee,0.997619,0.997619,1.0,1.0
Computers,0.818533,0.8396,0.8624,0.860933
CricketX,0.806581,0.832735,0.825128,0.835983
CricketY,0.828376,0.853761,0.851709,0.851624
CricketZ,0.822564,0.84641,0.843162,0.853675
Crop,0.734821,0.770591,0.776909,0.768657
DiatomSizeReduction,0.940087,0.943464,0.952179,0.960349
DistalPhalanxOutlineAgeGroup,0.806235,0.794964,0.797362,0.793046
DistalPhalanxOutlineCorrect,0.831039,0.829348,0.841184,0.829952
DistalPhalanxTW,0.700959,0.694005,0.696882,0.696882
ECG200,0.894667,0.903333,0.891667,0.903667
ECG5000,0.947133,0.947652,0.947348,0.948511
ECGFiveDays,0.998568,0.993806,0.995703,0.996322
EOGHorizontalSignal,0.82698,0.851934,0.871639,0.841252
EOGVerticalSignal,0.763996,0.79558,0.814365,0.803131
Earthquakes,0.743165,0.734772,0.744125,0.747482
ElectricDevices,0.881671,0.896455,0.903886,0.901759
EthanolLevel,0.664333,0.683333,0.724,0.675867
FaceAll,0.9843,0.984813,0.983945,0.98854
FaceFour,0.888258,0.937879,0.900758,0.932576
FacesUCR,0.961805,0.969886,0.969593,0.970813
FiftyWords,0.827179,0.840733,0.845861,0.83619
Fish,0.986286,0.982857,0.98419,0.98
FordA,0.958535,0.953838,0.956162,0.947601
FordB,0.932181,0.92786,0.929424,0.920905
FreezerRegularTrain,0.99255,0.998854,0.998643,0.996327
FreezerSmallTrain,0.95193,0.988105,0.991404,0.989064
GunPoint,0.998444,0.998,0.998667,0.996444
GunPointAgeSpan,0.996308,0.994831,0.996203,0.994937
GunPointMaleVersusFemale,0.999262,0.999895,1.0,0.999789
GunPointOldVersusYoung,1.0,1.0,1.0,1.0
Ham,0.847619,0.860317,0.850159,0.86127
HandOutlines,0.945495,0.946126,0.95045,0.946216
Haptics,0.51645,0.533009,0.531926,0.517857
Herring,0.618229,0.607812,0.610417,0.610938
HouseTwenty,0.968908,0.973389,0.977311,0.964706
InlineSkate,0.495879,0.517879,0.508121,0.516788
InsectEPGRegularTrain,1.0,1.0,1.0,0.999331
InsectEPGSmallTrain,0.99759,0.993708,0.996921,0.972825
InsectWingbeatSound,0.659966,0.661313,0.664899,0.659108
ItalyPowerDemand,0.961581,0.961322,0.964043,0.961322
LargeKitchenAppliances,0.935556,0.928889,0.941333,0.939733
Lightning2,0.737705,0.756831,0.757377,0.771038
Lightning7,0.783105,0.797717,0.80411,0.809132
Mallat,0.955721,0.963625,0.954513,0.963468
Meat,0.983889,0.992222,0.985556,0.991667
MedicalImages,0.768728,0.80636,0.80864,0.807588
MiddlePhalanxOutlineAgeGroup,0.663203,0.652165,0.65303,0.62684
MiddlePhalanxOutlineCorrect,0.83425,0.846964,0.851546,0.842268
MiddlePhalanxTW,0.557792,0.552814,0.551515,0.542857
MixedShapesRegularTrain,0.981801,0.977773,0.980509,0.97556
MixedShapesSmallTrain,0.958763,0.953993,0.95644,0.948632
MoteStrain,0.935277,0.920501,0.907188,0.912939
NonInvasiveFetalECGThorax1,0.943834,0.956047,0.96207,0.960577
NonInvasiveFetalECGThorax2,0.957557,0.968499,0.968092,0.9695
OSULeaf,0.978788,0.973003,0.969008,0.969835
OliveOil,0.912222,0.915556,0.912222,0.897778
PhalangesOutlinesCorrect,0.833761,0.847475,0.855478,0.849767
Phoneme,0.329712,0.323049,0.367423,0.316034
PigAirwayPressure,0.740385,0.835737,0.723397,0.712981
PigArtPressure,0.951603,0.959615,0.935417,0.932853
PigCVP,0.911058,0.916987,0.853526,0.894872
Plane,1.0,1.0,1.0,1.0
PowerCons,0.962037,0.976481,0.974444,0.974444
ProximalPhalanxOutlineAgeGroup,0.845366,0.844228,0.846179,0.84374
ProximalPhalanxOutlineCorrect,0.897022,0.903322,0.908133,0.904467
ProximalPhalanxTW,0.805854,0.807967,0.80065,0.803089
RefrigerationDevices,0.756089,0.746222,0.748533,0.756178
Rock,0.892,0.873333,0.864,0.884
ScreenType,0.624089,0.627289,0.677867,0.661156
SemgHandGenderCh2,0.824,0.893389,0.944556,0.906611
SemgHandMovementCh2,0.492741,0.588519,0.771704,0.660148
SemgHandSubjectCh2,0.780593,0.845778,0.917333,0.88763
ShapeletSim,0.983704,0.998148,1.0,0.997963
ShapesAll,0.938667,0.944167,0.948278,0.937778
SmallKitchenAppliances,0.833156,0.833689,0.836622,0.835467
SmoothSubspace,0.969333,0.962889,0.980222,0.975778
SonyAIBORobotSurface1,0.954798,0.953411,0.948697,0.959401
SonyAIBORobotSurface2,0.950892,0.950087,0.950542,0.942742
StarLightCurves,0.980379,0.981553,0.981524,0.981581
Strawberry,0.979369,0.98009,0.97973,0.98045
SwedishLeaf,0.970613,0.970613,0.974453,0.969707
Symbols,0.973032,0.971658,0.972362,0.97206
SyntheticControl,0.969333,0.991222,0.994667,0.997111
ToeSegmentation1,0.942982,0.943567,0.929386,0.936257
ToeSegmentation2,0.951026,0.948205,0.943846,0.944359
Trace,1.0,1.0,1.0,1.0
TwoLeadECG,0.999385,0.997951,0.997922,0.998537
TwoPatterns,0.986783,0.996083,0.999992,1.0
UMD,0.987269,0.990509,0.984954,0.984491
UWaveGestureLibraryAll,0.973748,0.980402,0.984683,0.980998
UWaveGestureLibraryX,0.863521,0.870566,0.878038,0.872204
UWaveGestureLibraryY,0.793123,0.805295,0.81314,0.804411
UWaveGestureLibraryZ,0.797981,0.81475,0.821608,0.813037
Wafer,0.999968,0.999881,0.999811,0.999757
Wine,0.951235,0.943827,0.930247,0.942593
WordSynonyms,0.749948,0.780042,0.788871,0.776594
Worms,0.753247,0.757143,0.741991,0.744156
WormsTwoClass,0.805195,0.797403,0.796537,0.786147
Yoga,0.925633,0.936278,0.937322,0.934811
